City,Country,Temperature_C,Humidity_Percent,Weather_Condition,Wind_Speed_m_s,Fetched_At
Lagos,NG,23.54,94,Clouds,2.56,2026-07-17 07:59:54
Kaduna,NG,21.88,85,Clouds,2.16,2026-07-17 08:10:25
Abuja,NG,22.0,92,Clouds,2.01,2026-07-17 08:06:19
Maiduguri,NG,28.41,56,Clouds,5.86,2026-07-17 08:06:21
Kano,NG,25.39,69,Clouds,4.39,2026-07-17 08:02:02
Enugu,NG,22.9,96,Clouds,0.77,2026-07-17 08:06:27
Plateau,CD,27.92,47,Clouds,1.54,2026-07-17 08:06:32
Yobe,CF,23.79,83,Clouds,1.1,2026-07-17 08:06:35
Benue,NG,23.1,93,Clouds,0.46,2026-07-17 08:06:40
Ondo,NG,22.5,97,Clouds,1.41,2026-07-17 08:06:45
Ogun,NG,22.29,95,Clouds,2.01,2026-07-17 08:06:47
Edo,NG,22.36,98,Clouds,0.89,2026-07-17 08:10:57
Anambra,NG,23.35,94,Clouds,1.44,2026-07-17 08:06:50
Bauchi,NG,23.7,75,Clouds,3.77,2026-07-17 08:06:52
Delta,NG,23.53,93,Clouds,2.05,2026-07-17 08:06:54
Oyo,NG,21.83,97,Clouds,1.89,2026-07-17 08:06:56
