Country Name,Country Code,Indicator Clean Name,Indicator Code,Year,Value
Africa Eastern and Southern,AFE,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.657522775
Africa Eastern and Southern,AFE,Measles Immunization (%),SH.IMM.MEAS,2000,53.74817064
Africa Eastern and Southern,AFE,Life Expectancy (Years),SP.DYN.LE00.IN,2000,52.55734186
Africa Eastern and Southern,AFE,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,2215921
Africa Western and Central,AFW,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.437577308
Africa Western and Central,AFW,Measles Immunization (%),SH.IMM.MEAS,2000,44.46456981
Africa Western and Central,AFW,Life Expectancy (Years),SP.DYN.LE00.IN,2000,50.29260517
Africa Western and Central,AFW,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1874925
Arab World,ARB,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.941684932
Arab World,ARB,Measles Immunization (%),SH.IMM.MEAS,2000,81.36485225
Arab World,ARB,Life Expectancy (Years),SP.DYN.LE00.IN,2000,66.89069989
Arab World,ARB,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,502085
Caribbean small states,CSS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.223838348
Caribbean small states,CSS,Measles Immunization (%),SH.IMM.MEAS,2000,89.55698177
Caribbean small states,CSS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,68.39767583
Caribbean small states,CSS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,2420
Caribbean small states,CSS,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,2.808523467
Central Europe and the Baltics,CEB,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.699499307
Central Europe and the Baltics,CEB,Measles Immunization (%),SH.IMM.MEAS,2000,96.6974636
Central Europe and the Baltics,CEB,Life Expectancy (Years),SP.DYN.LE00.IN,2000,72.71972472
Central Europe and the Baltics,CEB,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,12972
Central Europe and the Baltics,CEB,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,5.834818119
Early-demographic dividend,EAR,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.671468096
Early-demographic dividend,EAR,Measles Immunization (%),SH.IMM.MEAS,2000,67.37572168
Early-demographic dividend,EAR,Life Expectancy (Years),SP.DYN.LE00.IN,2000,64.21960983
Early-demographic dividend,EAR,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,5379461
Early-demographic dividend,EAR,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.317374211
East Asia & Pacific,EAS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,6.086017009
East Asia & Pacific,EAS,Measles Immunization (%),SH.IMM.MEAS,2000,83.62943201
East Asia & Pacific,EAS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,71.70283232
East Asia & Pacific,EAS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1250110
East Asia & Pacific,EAS,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.900443594
East Asia & Pacific (excluding high income),EAP,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.920392603
East Asia & Pacific (excluding high income),EAP,Measles Immunization (%),SH.IMM.MEAS,2000,82.76738331
East Asia & Pacific (excluding high income),EAP,Life Expectancy (Years),SP.DYN.LE00.IN,2000,70.73570716
East Asia & Pacific (excluding high income),EAP,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1237885
East Asia & Pacific (excluding high income),EAP,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.181291426
East Asia & Pacific (IDA & IBRD countries),TEA,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.921028618
East Asia & Pacific (IDA & IBRD countries),TEA,Measles Immunization (%),SH.IMM.MEAS,2000,82.83585976
East Asia & Pacific (IDA & IBRD countries),TEA,Life Expectancy (Years),SP.DYN.LE00.IN,2000,70.86508266
East Asia & Pacific (IDA & IBRD countries),TEA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1194907
East Asia & Pacific (IDA & IBRD countries),TEA,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.181353057
Euro area,EMU,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,8.617088243
Euro area,EMU,Measles Immunization (%),SH.IMM.MEAS,2000,86.9427128
Euro area,EMU,Life Expectancy (Years),SP.DYN.LE00.IN,2000,78.0398702
Euro area,EMU,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,21004
Euro area,EMU,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,6.675620883
Europe & Central Asia,ECS,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,7.987515954
Europe & Central Asia,ECS,Measles Immunization (%),SH.IMM.MEAS,2000,90.76448529
Europe & Central Asia,ECS,Life Expectancy (Years),SP.DYN.LE00.IN,2000,73.11371239
Europe & Central Asia,ECS,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,214246
Europe & Central Asia,ECS,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,6.719261833
Europe & Central Asia (excluding high income),ECA,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.797888243
Europe & Central Asia (excluding high income),ECA,Measles Immunization (%),SH.IMM.MEAS,2000,91.39241517
Europe & Central Asia (excluding high income),ECA,Life Expectancy (Years),SP.DYN.LE00.IN,2000,68.85705319
Europe & Central Asia (excluding high income),ECA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,152712
Europe & Central Asia (excluding high income),ECA,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,5.535356855
Europe & Central Asia (IDA & IBRD countries),TEC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.014187083
Europe & Central Asia (IDA & IBRD countries),TEC,Measles Immunization (%),SH.IMM.MEAS,2000,93.34226837
Europe & Central Asia (IDA & IBRD countries),TEC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,68.36657975
Europe & Central Asia (IDA & IBRD countries),TEC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,187329
Europe & Central Asia (IDA & IBRD countries),TEC,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,6.142303646
European Union,EUU,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,8.419640128
European Union,EUU,Measles Immunization (%),SH.IMM.MEAS,2000,89.12452402
European Union,EUU,Life Expectancy (Years),SP.DYN.LE00.IN,2000,77.07824508
European Union,EUU,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,31688
European Union,EUU,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,6.631643297
Heavily indebted poor countries (HIPC),HPC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.686776419
Heavily indebted poor countries (HIPC),HPC,Measles Immunization (%),SH.IMM.MEAS,2000,50.98418607
Heavily indebted poor countries (HIPC),HPC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,53.00160537
Heavily indebted poor countries (HIPC),HPC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,2920800
High income,HIC,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,9.345211069
High income,HIC,Measles Immunization (%),SH.IMM.MEAS,2000,91.72258732
High income,HIC,Life Expectancy (Years),SP.DYN.LE00.IN,2000,76.04175687
High income,HIC,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,129967
High income,HIC,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,7.793991118
IBRD only,IBD,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.146443621
IBRD only,IBD,Measles Immunization (%),SH.IMM.MEAS,2000,75.98216685
IBRD only,IBD,Life Expectancy (Years),SP.DYN.LE00.IN,2000,68.28696493
IBRD only,IBD,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,4583762
IBRD only,IBD,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.762958562
IDA & IBRD total,IBT,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,4.996209416
IDA & IBRD total,IBT,Measles Immunization (%),SH.IMM.MEAS,2000,69.45853366
IDA & IBRD total,IBT,Life Expectancy (Years),SP.DYN.LE00.IN,2000,65.65687645
IDA & IBRD total,IBT,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,9928177
IDA & IBRD total,IBT,"Physicians (per 1,000 people)",SH.MED.NUMW.P3,2000,1.733733553
IDA blend,IDB,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.10793858
IDA blend,IDB,Measles Immunization (%),SH.IMM.MEAS,2000,53.00947782
IDA blend,IDB,Life Expectancy (Years),SP.DYN.LE00.IN,2000,55.5992723
IDA blend,IDB,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,1928256
IDA only,IDX,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.420081513
IDA only,IDX,Measles Immunization (%),SH.IMM.MEAS,2000,58.30283483
IDA only,IDX,Life Expectancy (Years),SP.DYN.LE00.IN,2000,56.84320273
IDA only,IDX,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,3416159
IDA total,IDA,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,3.271448813
IDA total,IDA,Measles Immunization (%),SH.IMM.MEAS,2000,56.44186713
IDA total,IDA,Life Expectancy (Years),SP.DYN.LE00.IN,2000,56.41049893
IDA total,IDA,"Under-5 Mortality Rate (per 1,000)",SH.DTH.MORT,2000,5344415
Late-demographic dividend,LTE,Health Expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.307422523
Late-demographic dividend,LTE,Measles Immunization (%),SH.IMM.MEAS,2000,88.63746763
